,Latitude,Longitude,Class,EventDays,EventStart,EventEnd,Event_Days,EventLabel,OutsideEvent
13.18_59.96,59.95694444,13.18472222,4.0,14.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
17.72_59.96,59.95694444,17.71805556,4.0,15.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
10.77_59.83,59.83194444,10.76805556,4.0,17.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
15.18_59.83,59.83194444,15.18472222,4.0,17.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
12.68_59.71,59.70694444,12.68472222,4.0,16.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
17.2_59.71,59.70694444,17.20138889,4.0,15.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
11.16_59.58,59.58194444,11.1625,6.0,13.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
15.72_59.58,59.58194444,15.71527778,4.0,16.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
26.68_59.53,59.53194444,26.67916667,3.0,11.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
9.94_59.46,59.45694444,9.9375,3.0,11.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
14.56_59.46,59.45694444,14.55972222,4.0,16.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
25.34_59.46,59.45694444,25.3375,2.0,11.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
11.56_59.33,59.33194444,11.55972222,4.0,13.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
16.68_59.33,59.33194444,16.68194444,4.0,18.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
27.42_59.33,59.33194444,27.41805556,6.0,10.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
12.68_59.21,59.20694444,12.68472222,4.0,16.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
17.93_59.21,59.20694444,17.93194444,4.0,20.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
39.05_59.21,59.20694444,39.05138889,3.0,10.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
