,Latitude,Longitude,Class,EventDays,OutsideEvent
1672,59.456944444444446,29.656944444444463,1.0,0.0,True
1674,59.331944444444446,29.631944444444457,3.0,0.0,True
1676,59.206944444444446,29.640277777777783,3.0,0.0,True
1678,59.081944444444446,29.637500000000017,3.0,0.0,True
1740,57.20972222222224,34.74027777777778,3.0,0.0,True
1754,57.08472222222224,34.86527777777778,3.0,0.0,True
2130,50.212500000000006,9.873611111111131,3.0,0.0,True
2132,50.212500000000006,10.162499999999994,1.0,0.0,True
2134,50.212500000000006,10.412499999999994,1.0,0.0,True
2136,50.212500000000006,16.870833333333337,4.0,0.0,True
2138,50.212500000000006,17.134722222222223,3.0,0.0,True
2152,50.087500000000006,9.868055555555571,2.0,0.0,True
2154,50.087500000000006,9.998611111111131,1.0,0.0,True
2156,50.087500000000006,10.259722222222225,1.0,0.0,True
2158,50.087500000000006,16.745833333333337,2.0,0.0,True
2160,50.087500000000006,17.03472222222223,4.0,0.0,True
2162,50.087500000000006,17.245833333333337,4.0,0.0,True
2176,49.962500000000006,10.226388888888891,1.0,0.0,True
2178,49.95972222222224,10.445833333333354,1.0,0.0,True
2180,49.73472222222222,10.320833333333354,1.0,0.0,True
2182,49.71527777777777,9.873611111111131,1.0,0.0,True
2184,49.71527777777777,10.284722222222229,1.0,0.0,True
2186,49.59027777777777,9.848611111111126,1.0,0.0,True
2188,49.445833333333326,12.426388888888908,4.0,0.0,True
2190,49.34027777777777,12.304166666666674,4.0,0.0,True
2194,49.20972222222224,9.315277777777794,1.0,0.0,True
2196,49.21527777777777,13.120833333333335,4.0,0.0,True
2198,49.21527777777777,13.398611111111109,4.0,0.0,True
2200,49.212500000000006,13.668055555555554,2.0,0.0,True
2202,49.21527777777777,14.30694444444444,4.0,0.0,True
2204,49.1625,14.515277777777785,4.0,0.0,True
2206,49.09027777777777,13.120833333333335,4.0,0.0,True
2208,49.09027777777777,13.370833333333335,4.0,0.0,True
2210,49.09027777777777,13.620833333333335,4.0,0.0,True
2212,49.09027777777777,13.945833333333354,2.0,0.0,True
2214,49.09027777777777,14.390277777777785,4.0,0.0,True
2216,49.09027777777777,14.620833333333335,4.0,0.0,True
2218,48.96527777777777,9.029166666666669,1.0,0.0,True
2220,48.96527777777777,13.598611111111126,4.0,0.0,True
2222,48.96527777777777,13.768055555555575,4.0,0.0,True
2224,48.96527777777777,13.995833333333335,4.0,0.0,True
2226,48.962500000000006,14.273611111111109,4.0,0.0,True
2228,48.96527777777777,14.495833333333335,6.0,0.0,True
2230,48.831944444444446,9.06805555555556,6.0,0.0,True
2232,48.84027777777777,13.534722222222229,2.0,0.0,True
2234,48.84027777777777,13.745833333333335,4.0,0.0,True
2236,48.84027777777777,13.995833333333335,4.0,0.0,True
2238,48.84027777777777,14.279166666666669,4.0,0.0,True
2240,48.84027777777777,14.515277777777785,4.0,0.0,True
2242,48.71527777777777,14.120833333333335,4.0,0.0,True
2244,48.71527777777777,14.409722222222229,2.0,0.0,True
2246,48.71527777777777,14.634722222222225,4.0,0.0,True
2248,48.59027777777777,14.245833333333335,4.0,0.0,True
2250,48.59027777777777,14.509722222222225,4.0,0.0,True
2252,48.59027777777777,14.745833333333335,4.0,0.0,True
2254,48.21527777777777,15.020833333333345,3.0,0.0,True
2256,47.46527777777777,9.884722222222225,2.0,0.0,True
2258,47.46527777777777,10.176388888888908,3.0,0.0,True
2260,47.34027777777777,9.751388888888895,4.0,0.0,True
2262,47.34027777777777,10.026388888888905,2.0,0.0,True
2264,47.21527777777777,8.95972222222224,2.0,0.0,True
2266,47.21527777777777,9.123611111111131,3.0,0.0,True
2268,47.21527777777777,9.373611111111131,2.0,0.0,True
2270,47.21527777777777,9.662499999999994,2.0,0.0,True
2272,47.21527777777777,9.876388888888895,4.0,0.0,True
2274,47.093055555555566,21.65972222222223,2.0,0.0,True
2276,47.1625,22.11250000000001,1.0,0.0,True
2278,47.09027777777777,8.879166666666663,3.0,0.0,True
2280,47.09027777777777,9.195833333333354,4.0,0.0,True
2282,47.09027777777777,9.409722222222229,2.0,0.0,True
2284,47.09027777777777,9.623611111111131,2.0,0.0,True
2286,47.09027777777777,21.418055555555554,2.0,0.0,True
2288,47.09027777777777,21.65972222222223,2.0,0.0,True
2290,47.09027777777777,22.001388888888897,1.0,0.0,True
2292,46.96527777777777,8.781944444444463,4.0,0.0,True
2294,46.96527777777777,8.998611111111131,2.0,0.0,True
2296,46.96527777777777,9.248611111111131,2.0,0.0,True
2298,46.96527777777777,9.498611111111131,4.0,0.0,True
2300,46.929166666666674,21.256944444444457,6.0,0.0,True
2302,46.962500000000006,21.59027777777777,2.0,0.0,True
2304,46.94861111111112,21.82916666666668,1.0,0.0,True
2306,46.96527777777777,21.99305555555557,1.0,0.0,True
2308,46.96527777777777,22.262500000000017,2.0,0.0,True
2310,46.84027777777777,8.901388888888903,5.0,0.0,True
2312,46.84027777777777,9.123611111111131,2.0,0.0,True
2314,46.83472222222224,9.490277777777775,4.0,0.0,True
2316,46.7875,21.126388888888897,6.0,0.0,True
2318,46.831944444444446,21.406944444444463,2.0,0.0,True
2320,46.84027777777777,21.64861111111111,2.0,0.0,True
2322,46.84027777777777,21.97916666666669,2.0,0.0,True
2324,46.84027777777777,22.21250000000001,1.0,0.0,True
2326,46.84027777777777,22.376388888888897,2.0,0.0,True
2328,46.71527777777777,8.373611111111131,5.0,0.0,True
2330,46.71527777777777,8.623611111111131,4.0,0.0,True
2332,46.71527777777777,8.879166666666663,4.0,0.0,True
2334,46.71527777777777,9.123611111111131,2.0,0.0,True
2336,46.71527777777777,9.373611111111131,2.0,0.0,True
2338,46.67361111111112,15.31805555555556,3.0,0.0,True
2340,46.71527777777777,21.20972222222224,1.0,0.0,True
2342,46.71527777777777,21.376388888888897,1.0,0.0,True
2344,46.61805555555557,21.656944444444463,2.0,0.0,True
2346,46.71527777777777,21.95416666666668,2.0,0.0,True
2348,46.71527777777777,22.131944444444457,2.0,0.0,True
2350,46.71527777777777,22.36805555555557,1.0,0.0,True
2352,46.59027777777777,8.248611111111131,5.0,0.0,True
2354,46.59027777777777,8.498611111111131,2.0,0.0,True
2356,46.59027777777777,8.768055555555549,2.0,0.0,True
2358,46.59027777777777,8.998611111111131,2.0,0.0,True
2360,46.59027777777777,9.248611111111131,2.0,0.0,True
2362,46.59027777777777,15.131944444444455,4.0,0.0,True
2364,46.59027777777777,15.401388888888905,3.0,0.0,True
2366,46.51805555555555,20.376388888888897,2.0,0.0,True
2368,46.57916666666668,20.668055555555554,6.0,0.0,True
2370,46.59027777777777,21.11805555555557,2.0,0.0,True
2372,46.59027777777777,21.418055555555554,2.0,0.0,True
2374,46.59027777777777,21.66527777777779,1.0,0.0,True
2376,46.59027777777777,21.912499999999994,2.0,0.0,True
2378,46.59027777777777,22.11805555555557,1.0,0.0,True
2380,46.59027777777777,22.4375,2.0,0.0,True
2382,46.59027777777777,22.61805555555557,1.0,0.0,True
2384,46.46527777777777,8.409722222222229,2.0,0.0,True
2386,46.46527777777777,8.873611111111131,2.0,0.0,True
2388,46.46527777777777,20.009722222222223,2.0,0.0,True
2390,46.43472222222224,20.3125,6.0,0.0,True
2392,46.41527777777779,20.73750000000001,6.0,0.0,True
2394,46.46527777777777,22.24305555555557,1.0,0.0,True
2396,46.46527777777777,22.518055555555577,1.0,0.0,True
2398,46.46527777777777,22.74305555555557,4.0,0.0,True
2400,46.34027777777777,8.409722222222229,4.0,0.0,True
2402,46.337500000000006,19.634722222222223,2.0,0.0,True
2404,46.34027777777777,19.879166666666663,2.0,0.0,True
2406,46.28472222222223,20.162499999999994,6.0,0.0,True
2408,46.23472222222222,20.47916666666669,6.0,0.0,True
2410,46.34027777777777,20.62361111111113,2.0,0.0,True
2412,46.34027777777777,22.36805555555557,1.0,0.0,True
2414,46.34027777777777,22.61805555555557,1.0,0.0,True
2416,46.34027777777777,22.86805555555557,1.0,0.0,True
2418,46.21527777777777,8.390277777777783,4.0,0.0,True
2420,46.17638888888888,19.59305555555557,3.0,0.0,True
2422,46.10972222222222,20.168055555555554,2.0,0.0,True
2424,46.21527777777777,20.49305555555557,6.0,0.0,True
2426,46.17361111111112,20.745833333333337,6.0,0.0,True
2428,46.21527777777777,22.86805555555557,1.0,0.0,True
2430,46.21527777777777,26.140277777777783,3.0,0.0,True
2432,46.09027777777777,8.248611111111131,1.0,0.0,True
2434,45.973611111111126,19.41527777777779,6.0,0.0,True
2436,45.973611111111126,20.29583333333335,2.0,0.0,True
2438,46.08472222222224,20.61805555555557,6.0,0.0,True
2440,46.09027777777777,26.28472222222223,1.0,0.0,True
2442,45.968055555555566,7.81805555555556,5.0,0.0,True
2444,45.968055555555566,8.070833333333354,4.0,0.0,True
2446,45.968055555555566,8.30694444444444,4.0,0.0,True
2448,45.9125,19.129166666666663,2.0,0.0,True
2450,45.968055555555566,20.29027777777779,2.0,0.0,True
2452,45.968055555555566,26.29027777777779,4.0,0.0,True
2454,45.968055555555566,26.49305555555557,3.0,0.0,True
2456,45.843055555555566,7.873611111111131,2.0,0.0,True
2458,45.843055555555566,8.123611111111131,1.0,0.0,True
2460,45.843055555555566,8.373611111111131,1.0,0.0,True
2462,45.7875,19.120833333333337,6.0,0.0,True
2464,45.843055555555566,20.47638888888889,6.0,0.0,True
2466,45.843055555555566,26.24305555555557,3.0,0.0,True
2468,45.843055555555566,26.49305555555557,3.0,0.0,True
